Country Name,Date,CO2 emissions (metric tons per capita),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)"
Australia,2002,17.9574992112521,5.67827368,1273.63240323,6.0
Australia,2003,17.6920293133086,5.63916588,1604.67229503,5.9
Australia,2004,18.1478978904379,5.81345654,1983.68027195,5.8
Australia,2005,18.117853570518,5.73987436,2164.52642414,5.7
Australia,2006,18.1206789094546,5.72573614,2282.43419943,5.6
Australia,2007,18.5028519848662,5.88174677,2770.2442102,5.4
Australia,2008,18.2830412439057,5.97145414,2958.84488358,5.2
Australia,2009,18.2074249597772,6.25201321,2917.01924,5.0
Australia,2010,17.5814449601144,6.10032845,3578.09502126,4.8
Australia,2011,17.2681103655036,6.25755644,4294.30063836,4.5
Australia,2012,16.9692565563587,6.18006754,4292.13358342,4.3
Australia,2013,16.3986459950997,5.93705511,3939.88214031,4.1
Australia,2014,15.7558761009156,6.10049677,3786.09967025,4.0
Australia,2015,15.7864494009173,6.38369751,3327.91043276,3.9
Australia,2016,15.8720795379851,6.33803082,3422.32282687,3.8
Australia,2017,15.7386474030825,6.36546087,3668.34319773,3.8
Australia,2018,15.475516485656,6.29709959,3689.90078678,3.7
Canada,2002,16.7560164628412,6.41561842,1564.16490722,6.2
Canada,2003,17.2342155682583,6.59055614,1874.51105499,6.2
Canada,2004,16.8202561907387,6.62400055,2137.11057346,6.1
Canada,2005,17.0566372965331,6.59905815,2407.61774936,6.1
Canada,2006,16.6119280809467,6.4866991,2630.26466028,6.0
Canada,2007,17.3708402727049,6.57271051,2931.78985004,6.0
Canada,2008,16.5488028165328,6.70117044,3121.3970214,5.9
Canada,2009,15.4866819144667,7.52118206,3067.90490802,5.8
Canada,2010,15.7339140263037,7.47694063,3541.32949948,5.7
Canada,2011,15.950224768522,7.30276871,3791.71119017,5.7
Canada,2012,15.7612634959816,7.4011817,3874.93785929,5.6
Canada,2013,15.858128708318,7.3582077,3849.57186893,5.5
Canada,2014,15.8541384273439,7.23180246,3661.59299542,5.4
Canada,2015,15.651386155996,7.58065939,3275.17462897,5.4
Canada,2016,15.2447471768292,7.67784119,3224.5060744,5.3
Canada,2017,15.3853158863169,7.56277943,3395.67656192,5.2
Canada,2018,15.497064568908,7.58277988,3521.60526314,5.1
China,2002,2.97432833489535,1.11262357,12.47502144,31.5
China,2003,3.42541136293077,1.25344634,15.79029427,28.8
China,2004,3.95180062882163,1.29851866,19.13295723,26.3
China,2005,4.46347375203265,1.36797976,23.5411552,24.0
China,2006,4.90603499565224,1.38712037,28.54349566,21.9
China,2007,5.30259468770037,1.43417549,37.88625665,20.1
China,2008,5.43161049480808,1.73637438,58.71938126,18.5
China,2009,5.79534426032481,2.14862108,80.3303276,17.0
China,2010,6.33216591101925,2.19598818,96.80070298,15.8
China,2011,6.89814763184601,2.33301306,126.98555823,14.6
China,2012,7.03978762212097,2.54478717,156.99349115,13.5
China,2013,7.28901734104046,2.68986797,186.007681,12.5
China,2014,7.21279139270771,2.79103684,209.89231344,11.6
China,2015,7.12422274723523,2.97190666,234.76857954,10.7
China,2016,7.07189848608219,2.89319348,229.709797,9.9
China,2017,7.17494798437203,2.87102747,247.80805121,9.2
China,2018,7.35226268214092,2.91554689,282.67976485,8.5
Denmark,2002,10.0410514941505,7.29320812,2426.8539348,5.5
Denmark,2003,11.0081041462375,7.47102213,3026.66444776,5.4
Denmark,2004,9.97127776123813,7.52562666,3504.77799773,5.2
Denmark,2005,9.27587983390141,7.61281252,3720.54368225,5.0
Denmark,2006,10.7057362589181,7.68989229,4008.06871201,4.8
Denmark,2007,9.77764464230849,7.80592728,4577.48692282,4.5
Denmark,2008,9.12330865198018,7.99141836,5156.95134352,4.4
Denmark,2009,8.67086298533703,9.01539803,5254.76143543,4.2
Denmark,2010,8.68470675054793,8.66742611,5042.46168036,4.1
Denmark,2011,7.73529181563401,8.48921585,5251.77487517,4.1
Denmark,2012,6.83349870125968,8.600667,5042.00475799,4.1
Denmark,2013,7.12029994308034,8.56900883,5254.99365695,4.1
Denmark,2014,6.33652138088678,8.56367874,5371.95224569,4.1
Denmark,2015,5.91186777544685,8.60955524,4604.26089816,4.1
Denmark,2016,6.17666519436942,8.53385067,4681.91165258,4.1
Denmark,2017,5.78145977956558,8.43570423,4873.52175164,4.0
Denmark,2018,5.76149416359606,8.44737244,5214.66021716,3.9
France,2002,6.00547532632575,7.31639624,1788.37252027,5.1
France,2003,6.05415256644402,7.32370901,2183.64312079,4.9
France,2004,6.02743954575417,7.3839097,2512.53966384,4.8
France,2005,6.02760180081608,7.41065979,2593.60729683,4.6
France,2006,5.8408041976332,7.40223742,2716.6304043,4.5
